High card. [4S, 8C, 9H, TS, KC] < High card. [2S, 3S, 5D, 7D, AC]
High card. [3D, 5C, 9S, TC, JD] < High card. [5H, 9H, QH, KC, AD]

High card. [3H, 4H, 7H, 8H, TC] < High card. [2S, 6S, 7C, TD, AC]

High card. [3C, 5D, 9D, JC, QS] < High card. [2S, 4D, 6C, JH, KS]

High card. [3C, 6S, 7H, 9S, TS] < High card. [3D, 4C, 6D, 9C, KD]

One pair. [2D, 7H, 9H, AH, AC] > High card. [2S, 3S, 7C, JH, QC]

High card. [2H, 3C, 9H, QD, AC] < Two pair. [8S, 8C, KD, KH, AS]

One pair. [2D, 6D, 7S, TD, TH] > High card. [2H, 4D, 5S, 8D, JD]

One pair. [8S, JD, QH, QS, KD] > High card. [3S, 4D, 5H, JH, KC]

High card. [3C, 6D, 8H, QC, KH] < High card. [2D, 3S, 7D, TD, AH]

High card. [4S, 5S, 6S, 9H, QH] < Two pair. [6C, 6D, 7S, TS, TH]

One pair. [4C, 6C, 6D, JS, QS] < One pair. [3H, 8D, 8S, 9C, TS]

High card. [2C, 5C, 7S, JS, AS] < One pair. [2H, 5S, TC, AH, AD]

One pair. [6C, 9C, 9D, TS, KD] > One pair. [2S, 2C, 4H, JC, QD]

High card. [3H, 9H, TC, QS, KC] < High card. [3C, 4H, TH, KS, AD]

Two pair. [2H, 9C, 9D, KH, KD] > High card. [2D, 7S, TC, JH, KC]

High card. [3S, 7C, 8C, KC, AS] < One pair. [3H, 5D, 9C, 9S, QH]

One pair. [2D, 2H, 4C, 8C, TD] > High card. [2C, 5D, 7D, TC, QC]

High card. [4D, 6C, TD, QH, KS] < High card. [5D, 7C, 8D, KH, AD]

One pair. [2S, 4C, 8S, 8C, 9S] > One pair. [3D, 6H, 7C, 7H, QD]

High card. [5H, 6C, 8S, TS, QH] < One pair. [2S, 2H, 3C, 4S, 5C]

High card. [2H, 3S, 6S, 8S, JC] > High card. [2S, 3H, 7H, 8C, 9D]

High card. [2C, 8H, 9C, QC, AC] < One pair. [3S, 4C, 4H, 6S, JD]

One pair. [3H, 3S, 4C, 7D, 9S] > High card. [3D, 5H, 8H, TC, JC]

One pair. [2S, 2D, 9S, QH, KD] < One pair. [6D, 9H, 9C, QD, AD]

High card. [2D, 8D, 9S, JC, KS] < One pair. [4C, 4S, TH, JD, KC]

High card. [4D, 5C, 6D, TS, KH] < One pair. [5H, 9H, KD, AS, AD]

High card. [5D, 6D, 7C, JS, QD] < Two pair. [5C, 5H, TH, QH, QS]

High card. [5H, 9D, JH, QH, KH] < Two pair. [4C, 4D, 6C, TC, TH]

One pair. [9D, TS, KH, KD, AS] > High card. [4D, 5S, 7S, 8H, 9C]

High card. [2S, 7D, 9D, KH, AS] < One pair. [4C, 7C, TS, TH, AH]

High card. [4D, 8S, 9S, KS, AC] > High card. [5C, 8D, 9D, TH, QH]

One pair. [5D, 5C, 8C, TC, QS] > One pair. [2C, 3D, 3S, 4C, 8D]

One pair. [2D, 3C, 9D, KS, KC] > High card. [4S, 6C, 8C, JC, KH]

One pair. [6H, 7D, 7S, 8H, AH] > High card. [3C, 4C, 6C, QD, KC]

High card. [2C, 3H, 8H, QH, AS] < One pair. [4C, 4H, 7D, 8C, KC]

High card. [2C, 4H, 5S, TD, QD] < High card. [4C, 8S, JH, QH, AH]

High card. [3H, 5S, 8H, JS, QS] < Two pair. [2S, 2C, 3S, 9H, 9C]

High card. [6H, 7S, TS, JC, QD] < High card. [3H, 5S, TD, KC, AC]

One pair. [7D, JC, QH, QS, AS] > One pair. [2C, 4C, 5C, 5S, KC]

High card. [3D, 4H, JS, QH, AS] > High card. [2S, 7H, 8D, 9C, JC]

One pair. [2S, 4D, 4S, 5D, 9D] > High card. [2D, 7H, 8H, 9C, QS]

High card. [3H, 6D, 7H, TS, JS] < High card. [2D, 7C, 8S, JH, AC]

High card. [3C, 5H, TC, JH, KC] < One pair. [4C, 5S, 8H, 9H, 9D]

High card. [5H, 8S, 9H, KC, AD] < One pair. [8D, 9D, KS, KH, AH]

High card. [2H, 6S, 9H, JC, KS] < High card. [3H, 5H, 9C, QC, AH]

One pair. [5C, 5S, 6C, KH, AD] < One pair. [9H, 9C, TD, JC, QC]

One pair. [2D, 5S, 5D, JC, QH] > High card. [2H, 8H, TS, QS, KS]

One pair. [5H, 5S, 7H, JH, AH] > High card. [3C, 8S, TD, KH, AS]

High card. [2C, 3D, 4C, 6H, JD] < High card. [6C, 7S, JH, KC, AH]

High card. [4C, 7S, 9D, KS, AD] > High card. [3S, 7D, 8H, 9C, KC]

One pair. [3C, 5C, 5H, 7H, 8H] > High card. [3D, 6D, JC, QC, KH]

High card. [2D, 4H, 5D, 7D, QC] < One pair. [8H, 9H, QH, AD, AH]

High card. [3S, 8C, 9D, JS, KD] < One pair. [2H, 2S, 3C, 5D, 6D]

One pair. [3C, 6S, 6H, 8S, TS] > High card. [3H, 5S, 6C, 8D, TD]

High card. [3D, 7C, 9C, JH, KS] > High card. [4H, 5S, 6H, 9S, QS]

High card. [4S, 6S, 7S, TH, KC] < Two pair. [3S, JC, JH, KD, KS]

High card. [2S, 3C, 6D, 7C, QH] < High card. [2C, 5H, 7S, 8H, AH]

One pair. [6D, 8D, QD, KC, KH] > One pair. [3D, 5C, 7H, 9D, 9C]

High card. [2D, 6H, 8S, 9S, JS] < High card. [2S, 6D, 7C, TC, KC]

One pair. [7H, 9C, JH, KD, KC] > High card. [2S, 3D, 6H, 7S, 8S]

One pair. [2D, 4H, 4C, 8H, 9H] < One pair. [2H, 5S, 7H, 8S, 8D]

One pair. [3C, 5S, 7C, 7S, AD] > High card. [3D, 4D, 9H, JC, KH]

High card. [5D, 6D, 7D, 9C, AS] < One pair. [4C, JC, QH, QS, KH]

High card. [3D, 7D, JD, QS, KD] < One pair. [6D, 8S, JS, QC, QD]

High card. [5S, 6S, 8C, TH, QH] < One pair. [2C, 9H, JD, AS, AC]

One pair. [3C, 7S, QC, QH, KS] > One pair. [4C, 5C, 5D, KC, AH]

High card. [2C, 4H, 6C, 9D, AH] < One pair. [3H, 3D, 5C, TS, KD]

High card. [8S, TD, JS, QS, AS] < One pair. [3H, 4H, KD, KS, AC]

High card. [4H, 5D, 7D, 9H, TS] < High card. [2H, 4C, 8C, 9C, QC]

High card. [2C, 4D, 7D, 9H, KS] < High card. [4C, JS, QH, KD, AD]

One pair. [9D, QD, KH, AD, AH] < Three of a kind. [9H, JS, JC, JD, KD]

High card. [3C, 4S, 7S, 8S, TS] > High card. [2S, 4D, 5C, 6H, 7C]

High card. [5C, 6D, 7S, JS, KD] > High card. [2H, 6S, 8S, TD, QH]

Two pair. [6C, 6H, TC, TD, QH] > High card. [2H, 4C, 8H, 9D, QC]

High card. [2H, 3D, 4D, 6H, TS] < One pair. [2C, 6S, 6C, 7H, 8S]

Two pair. [3S, 9H, 9D, JD, JH] > High card. [2C, 3H, 6S, 8S, AH]

High card. [2C, 3H, 5S, 8C, QS] < High card. [2S, 3C, 4S, 7D, AD]

One pair. [5C, TS, QC, QH, AS] > One pair. [4S, 4C, 5H, 6S, JS]

High card. [4C, 5C, 6H, TD, JH] < One pair. [4H, JS, QS, KD, KH]

High card. [4D, 9H, TC, JC, KH] < One pair. [3C, 8D, 8H, 9D, KC]

High card. [2H, 8S, 9S, TC, AD] > High card. [2C, 4H, 5C, 7H, TS]

High card. [2S, 4H, 5S, 6C, KS] < High card. [7C, 8H, 9C, KD, AH]

Two pair. [3C, TS, TD, QH, QS] > High card. [2C, 7D, 8D, JH, AH]

One pair. [3H, 5D, 5S, KC, AC] > One pair. [2H, 4S, 4C, 7H, QS]

High card. [3D, 7D, JH, QC, KH] < Two pair. [6D, 6C, TD, TH, KD]

High card. [5S, 6C, 8D, 9D, TH] < High card. [6D, 7D, 8C, 9S, KH]

One pair. [2S, 7S, JD, QS, QC] > High card. [4S, 8D, JC, QH, KS]

High card. [5S, 7S, 9S, JD, KD] < High card. [2D, 7C, 9C, JC, AD]

High card. [4S, 5H, 9C, JH, AH] > High card. [2D, 5D, 6S, 7C, TD]

One pair. [6C, 6S, 7H, 9C, KC] > High card. [4H, 5S, TD, QD, KS]

High card. [2D, 6S, 8D, TH, KS] < One pair. [3S, 9H, TD, TS, JD]

High card. [4H, 5D, 9D, JS, KH] < Three of a kind. [TC, TD, TS, JD, QC]

Two pair. [4C, QS, QD, AC, AD] > High card. [2D, 3H, 6S, KC, AS]

High card. [3C, 4C, 7C, TD, QS] < One pair. [8D, 9C, KC, AS, AD]

High card. [6D, 7H, 8H, QC, KC] < High card. [5S, 6S, 7S, 8C, AH]

High card. [3S, 6D, 9H, JC, AD] < One pair. [6S, JD, JH, KH, AS]

High card. [3D, 7H, TS, KS, AD] < One pair. [2D, JH, JS, QD, AC]

High card. [6D, 7C, 9C, TC, JD] < Two pair. [3D, 3S, 6H, 6C, JC]

One pair. [3S, JC, QC, KC, KD] > High card. [2C, 8D, TS, QS, AH]

High card. [3D, 8H, JD, KD, AS] > High card. [5C, 6C, 7C, 8C, QD]

Player 1: 379	Player 2: 621
